Year,SPI_3,SPI_6,SPI_12,Rainfall_Anomaly,Temp_Anomaly,Rainfall_SenSlope,Rainfall_MK_Z,Rainfall_MK_p,Rainfall_MK_direction,AvgTemp_SenSlope,AvgTemp_MK_Z,AvgTemp_MK_p,AvgTemp_MK_direction,MaxTemp_SenSlope,MaxTemp_MK_Z,MaxTemp_MK_p,MaxTemp_MK_direction,MinTemp_SenSlope,MinTemp_MK_Z,MinTemp_MK_p,MinTemp_MK_direction,Thermal_Stress_rice,Thermal_Stress_maize,Thermal_Stress_chickpea,Thermal_Stress_cotton,Thermal_Stress_Mean
1996,-0.09094279964556196,0.8001404433381261,-0.09488381777426955,-0.6756448510301352,0.1784566238533711,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,4,4,5,4,4.25
1997,0.29746664921943616,0.7518571739087351,-0.04835864213159961,-0.5727565426190832,-0.4392778433314284,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,2,4,6,3,3.75
1998,0.25227800991631893,0.9984516543790571,0.6485637397921149,1.1955272663437444,-0.7748373069873662,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,3,4,6,5,4.5
1999,-0.1807279283505285,0.40859653396841616,-0.13255192676344832,-0.7576067238321595,-1.0824334820053019,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,4,4,7,3,4.5
2000,-0.7442777808211831,0.5856485756510237,0.11752297405285546,-0.1908490927543307,-0.2969192829925444,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,2,3,7,3,3.75
2001,0.1340886342877017,0.5779171220425142,-0.19796666954468356,-0.8971162945590107,0.020845360621038332,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,2,4,6,3,3.75
2002,-0.8548368368228687,0.31553158024779565,-0.24815883805059458,-1.0017484726041481,1.7977852477081715,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,2,4,6,3,3.75
2003,-0.8548368368228687,0.33197174038538535,-0.25069494617950805,-1.0069800815064052,1.62492128158239,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,2,4,5,2,3.25
2004,-0.2847303526159959,0.7266200824034207,-0.03743914469784856,-0.5483423677418842,0.2115041467891858,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,2,4,6,4,4.0
2005,-0.106910179707098,1.1884695998673718,0.7294110802637332,1.4292057973112193,-1.7001679491901014,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,4,4,5,4,4.25
2006,0.09815584204910457,1.263430855913668,1.061693388666515,2.4546011421535687,-1.234960510939822,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,3,3,6,3,3.75
2007,-1.1385953865779759,0.8001404433381257,0.2849674796071626,0.21896027125579243,-0.533336177841049,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,2,4,5,4,3.75
2008,-0.708672213416764,0.6765810053765614,-0.20211142966619625,-0.9058356427294383,0.028471712067768135,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,2,4,6,4,4.0
2009,0.35195171187405844,0.9370872877519475,0.19430352878570925,-0.005998911541253594,1.4418888468609614,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,3,4,8,2,4.25
2010,0.3052402612572284,1.0267692040784582,0.5333137949245246,0.8729113840379034,0.5114739703604027,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,3,4,6,4,4.25
2011,-0.31053800238622514,0.7751287373061788,0.06635772632212139,-0.3111760975062387,-0.7062001439668197,0.19464285714285706,0.9575537013186733,0.3382878549727658,no trend,0.004194444444444379,0.4904543348217595,0.6238124360692694,no trend,-0.013854166666667469,-0.7707139547199078,0.44087649866088374,no trend,-0.0025378787878789022,-0.11677484162422845,0.9070384808036948,no trend,3,4,6,3,4.0
