Year,State Name,Dist Name,Crop,Min_Temp,Max_Temp,Avg_Temp,Rainfall,Actual_Yield,Predicted_Yield,Resilience_Index,Resilience_Class
1996,Andhra Pradesh,Ananthapur,chickpea,20.0,20.0,20.0,600.0,538.0,831.0,0.65,Vulnerable
1996,Andhra Pradesh,Ananthapur,cotton,28.0,28.0,28.0,700.0,263.0,283.0,0.93,Highly Resilient
1996,Andhra Pradesh,Ananthapur,maize,22.0,22.0,22.0,800.0,4333.0,2896.0,1.5,Highly Resilient
1996,Andhra Pradesh,Ananthapur,rice,25.0,25.0,25.0,1200.0,2471.0,2253.0,1.1,Highly Resilient
1996,Andhra Pradesh,Chittoor,rice,25.0,25.0,25.0,1200.0,2429.0,2270.0,1.07,Highly Resilient
1996,Andhra Pradesh,East Godavari,cotton,28.0,28.0,28.0,700.0,487.0,314.0,1.55,Highly Resilient
1996,Andhra Pradesh,East Godavari,maize,22.0,22.0,22.0,800.0,3833.0,2692.0,1.42,Highly Resilient
1996,Andhra Pradesh,East Godavari,rice,25.0,25.0,25.0,1200.0,2410.0,2031.0,1.19,Highly Resilient
1996,Andhra Pradesh,Guntur,chickpea,20.0,20.0,20.0,600.0,1671.0,1005.0,1.66,Highly Resilient
1996,Andhra Pradesh,Guntur,cotton,28.0,28.0,28.0,700.0,486.0,361.0,1.35,Highly Resilient
1996,Andhra Pradesh,Guntur,maize,22.0,22.0,22.0,800.0,4678.0,2439.0,1.92,Highly Resilient
1996,Andhra Pradesh,Guntur,rice,25.0,25.0,25.0,1200.0,3136.0,2392.0,1.31,Highly Resilient
1996,Andhra Pradesh,Kadapa YSR,chickpea,20.0,20.0,20.0,600.0,857.0,887.0,0.97,Highly Resilient
1996,Andhra Pradesh,Kadapa YSR,cotton,28.0,28.0,28.0,700.0,244.0,290.0,0.84,Moderately Resilient
1996,Andhra Pradesh,Kadapa YSR,rice,25.0,25.0,25.0,1200.0,2439.0,2388.0,1.02,Highly Resilient
1996,Andhra Pradesh,Krishna,cotton,28.0,28.0,28.0,700.0,482.0,333.0,1.45,Highly Resilient
1996,Andhra Pradesh,Krishna,maize,22.0,22.0,22.0,800.0,3667.0,2692.0,1.36,Highly Resilient
1996,Andhra Pradesh,Krishna,rice,25.0,25.0,25.0,1200.0,3069.0,2291.0,1.34,Highly Resilient
1996,Andhra Pradesh,Kurnool,chickpea,20.0,20.0,20.0,600.0,974.0,771.0,1.26,Highly Resilient
1996,Andhra Pradesh,Kurnool,cotton,28.0,28.0,28.0,700.0,263.0,251.0,1.05,Highly Resilient
1996,Andhra Pradesh,Kurnool,maize,22.0,22.0,22.0,800.0,4732.0,2660.0,1.78,Highly Resilient
1996,Andhra Pradesh,Kurnool,rice,25.0,25.0,25.0,1200.0,2994.0,2378.0,1.26,Highly Resilient
1996,Andhra Pradesh,S.P.S. Nellore,chickpea,20.0,20.0,20.0,600.0,1600.0,943.0,1.7,Highly Resilient
1996,Andhra Pradesh,S.P.S. Nellore,cotton,28.0,28.0,28.0,700.0,413.0,321.0,1.28,Highly Resilient
1996,Andhra Pradesh,S.P.S. Nellore,maize,22.0,22.0,22.0,800.0,5333.0,2985.0,1.79,Highly Resilient
1996,Andhra Pradesh,S.P.S. Nellore,rice,25.0,25.0,25.0,1200.0,2808.0,2140.0,1.31,Highly Resilient
1996,Andhra Pradesh,Srikakulam,cotton,28.0,28.0,28.0,700.0,374.0,365.0,1.02,Highly Resilient
1996,Andhra Pradesh,Srikakulam,maize,22.0,22.0,22.0,800.0,3000.0,1803.0,1.66,Highly Resilient
1996,Andhra Pradesh,Srikakulam,rice,25.0,25.0,25.0,1200.0,1922.0,1948.0,0.99,Highly Resilient
1996,Andhra Pradesh,Visakhapatnam,cotton,28.0,28.0,28.0,700.0,510.0,365.0,1.4,Highly Resilient
1996,Andhra Pradesh,Visakhapatnam,maize,22.0,22.0,22.0,800.0,2222.0,1655.0,1.34,Highly Resilient
1996,Andhra Pradesh,Visakhapatnam,rice,25.0,25.0,25.0,1200.0,1928.0,2118.0,0.91,Highly Resilient
1996,Andhra Pradesh,West Godavari,cotton,28.0,28.0,28.0,700.0,476.0,338.0,1.41,Highly Resilient
1996,Andhra Pradesh,West Godavari,maize,22.0,22.0,22.0,800.0,4167.0,2692.0,1.55,Highly Resilient
1996,Andhra Pradesh,West Godavari,rice,25.0,25.0,25.0,1200.0,2421.0,2051.0,1.18,Highly Resilient
1996,Assam,Cachar,chickpea,20.0,20.0,20.0,600.0,429.0,628.0,0.68,Vulnerable
1996,Assam,Cachar,maize,22.0,22.0,22.0,800.0,571.0,1294.0,0.44,Vulnerable
1996,Assam,Cachar,rice,25.0,25.0,25.0,1200.0,1844.0,2060.0,0.9,Moderately Resilient
1996,Assam,Darrang,chickpea,20.0,20.0,20.0,600.0,700.0,739.0,0.95,Highly Resilient
1996,Assam,Darrang,maize,22.0,22.0,22.0,800.0,626.0,1036.0,0.6,Vulnerable
1996,Assam,Darrang,rice,25.0,25.0,25.0,1200.0,1117.0,1553.0,0.72,Moderately Resilient
1996,Assam,Dibrugarh,chickpea,20.0,20.0,20.0,600.0,500.0,844.0,0.59,Vulnerable
1996,Assam,Dibrugarh,maize,22.0,22.0,22.0,800.0,579.0,1269.0,0.46,Vulnerable
1996,Assam,Dibrugarh,rice,25.0,25.0,25.0,1200.0,1568.0,2087.0,0.75,Moderately Resilient
1996,Assam,Goalpara,chickpea,20.0,20.0,20.0,600.0,562.0,674.0,0.83,Moderately Resilient
1996,Assam,Goalpara,maize,22.0,22.0,22.0,800.0,562.0,1076.0,0.52,Vulnerable
1996,Assam,Goalpara,rice,25.0,25.0,25.0,1200.0,1031.0,1853.0,0.56,Vulnerable
1996,Assam,Kamrup,chickpea,20.0,20.0,20.0,600.0,355.0,646.0,0.55,Vulnerable
1996,Assam,Kamrup,cotton,28.0,28.0,28.0,700.0,83.0,182.0,0.46,Vulnerable
1996,Assam,Kamrup,maize,22.0,22.0,22.0,800.0,675.0,1183.0,0.57,Vulnerable
1996,Assam,Kamrup,rice,25.0,25.0,25.0,1200.0,1055.0,1498.0,0.7,Moderately Resilient
1996,Assam,Karbi Anglong,chickpea,20.0,20.0,20.0,600.0,500.0,664.0,0.75,Moderately Resilient
1996,Assam,Karbi Anglong,cotton,28.0,28.0,28.0,700.0,86.0,118.0,0.73,Moderately Resilient
1996,Assam,Karbi Anglong,maize,22.0,22.0,22.0,800.0,711.0,1203.0,0.59,Vulnerable
1996,Assam,Karbi Anglong,rice,25.0,25.0,25.0,1200.0,1408.0,2125.0,0.66,Vulnerable
1996,Assam,Lakhimpur,chickpea,20.0,20.0,20.0,600.0,333.0,516.0,0.65,Vulnerable
1996,Assam,Lakhimpur,maize,22.0,22.0,22.0,800.0,784.0,1229.0,0.64,Vulnerable
1996,Assam,Lakhimpur,rice,25.0,25.0,25.0,1200.0,1154.0,2093.0,0.55,Vulnerable
1996,Assam,Nagaon,chickpea,20.0,20.0,20.0,600.0,419.0,663.0,0.63,Vulnerable
1996,Assam,Nagaon,cotton,28.0,28.0,28.0,700.0,91.0,254.0,0.36,Vulnerable
1996,Assam,Nagaon,maize,22.0,22.0,22.0,800.0,643.0,1222.0,0.53,Vulnerable
1996,Assam,Nagaon,rice,25.0,25.0,25.0,1200.0,1389.0,1567.0,0.89,Moderately Resilient
1996,Assam,North Cachar Hil / Dima hasao,chickpea,20.0,20.0,20.0,600.0,333.0,516.0,0.65,Vulnerable
1996,Assam,North Cachar Hil / Dima hasao,cotton,28.0,28.0,28.0,700.0,73.0,165.0,0.44,Vulnerable
1996,Assam,North Cachar Hil / Dima hasao,maize,22.0,22.0,22.0,800.0,748.0,1099.0,0.68,Vulnerable
1996,Assam,North Cachar Hil / Dima hasao,rice,25.0,25.0,25.0,1200.0,1811.0,1704.0,1.06,Highly Resilient
1996,Assam,Sibsagar,chickpea,20.0,20.0,20.0,600.0,500.0,816.0,0.61,Vulnerable
1996,Assam,Sibsagar,maize,22.0,22.0,22.0,800.0,588.0,1224.0,0.48,Vulnerable
1996,Assam,Sibsagar,rice,25.0,25.0,25.0,1200.0,1804.0,2056.0,0.88,Moderately Resilient
1996,Bihar,Bhagalpur,chickpea,20.0,20.0,20.0,600.0,885.0,869.0,1.02,Highly Resilient
1996,Bihar,Bhagalpur,maize,22.0,22.0,22.0,800.0,1420.0,1591.0,0.89,Moderately Resilient
1996,Bihar,Bhagalpur,rice,25.0,25.0,25.0,1200.0,1440.0,2112.0,0.68,Vulnerable
1996,Bihar,Champaran,chickpea,20.0,20.0,20.0,600.0,966.0,755.0,1.28,Highly Resilient
1996,Bihar,Champaran,maize,22.0,22.0,22.0,800.0,1721.0,2043.0,0.84,Moderately Resilient
1996,Bihar,Champaran,rice,25.0,25.0,25.0,1200.0,1295.0,1883.0,0.69,Vulnerable
1996,Bihar,Darbhanga,chickpea,20.0,20.0,20.0,600.0,863.0,789.0,1.09,Highly Resilient
1996,Bihar,Darbhanga,maize,22.0,22.0,22.0,800.0,2404.0,2159.0,1.11,Highly Resilient
1996,Bihar,Darbhanga,rice,25.0,25.0,25.0,1200.0,1410.0,1689.0,0.83,Moderately Resilient
1996,Bihar,Gaya,chickpea,20.0,20.0,20.0,600.0,920.0,794.0,1.16,Highly Resilient
1996,Bihar,Gaya,maize,22.0,22.0,22.0,800.0,1330.0,1646.0,0.81,Moderately Resilient
1996,Bihar,Gaya,rice,25.0,25.0,25.0,1200.0,1834.0,1840.0,1.0,Highly Resilient
1996,Bihar,Mungair,chickpea,20.0,20.0,20.0,600.0,955.0,888.0,1.07,Highly Resilient
1996,Bihar,Mungair,maize,22.0,22.0,22.0,800.0,2389.0,1850.0,1.29,Highly Resilient
1996,Bihar,Mungair,rice,25.0,25.0,25.0,1200.0,1354.0,1896.0,0.71,Moderately Resilient
1996,Bihar,Muzaffarpur,chickpea,20.0,20.0,20.0,600.0,895.0,803.0,1.11,Highly Resilient
1996,Bihar,Muzaffarpur,maize,22.0,22.0,22.0,800.0,2424.0,1707.0,1.42,Highly Resilient
1996,Bihar,Muzaffarpur,rice,25.0,25.0,25.0,1200.0,1382.0,1794.0,0.77,Moderately Resilient
1996,Bihar,Patna,chickpea,20.0,20.0,20.0,600.0,1272.0,951.0,1.34,Highly Resilient
1996,Bihar,Patna,maize,22.0,22.0,22.0,800.0,2235.0,1859.0,1.2,Highly Resilient
1996,Bihar,Patna,rice,25.0,25.0,25.0,1200.0,1809.0,1938.0,0.93,Highly Resilient
1996,Bihar,Purnea,chickpea,20.0,20.0,20.0,600.0,614.0,735.0,0.83,Moderately Resilient
1996,Bihar,Purnea,maize,22.0,22.0,22.0,800.0,2188.0,2065.0,1.06,Highly Resilient
1996,Bihar,Purnea,rice,25.0,25.0,25.0,1200.0,1190.0,1590.0,0.75,Moderately Resilient
1996,Bihar,Saharsa,chickpea,20.0,20.0,20.0,600.0,944.0,805.0,1.17,Highly Resilient
1996,Bihar,Saharsa,maize,22.0,22.0,22.0,800.0,2042.0,1743.0,1.17,Highly Resilient
1996,Bihar,Saharsa,rice,25.0,25.0,25.0,1200.0,1122.0,1824.0,0.62,Vulnerable
1996,Bihar,Saran,chickpea,20.0,20.0,20.0,600.0,843.0,721.0,1.17,Highly Resilient
1996,Bihar,Saran,maize,22.0,22.0,22.0,800.0,1717.0,2051.0,0.84,Moderately Resilient
1996,Bihar,Saran,rice,25.0,25.0,25.0,1200.0,1531.0,2068.0,0.74,Moderately Resilient
1996,Bihar,Shahabad (now part of Bhojpur district),chickpea,20.0,20.0,20.0,600.0,1033.0,814.0,1.27,Highly Resilient
