Year,State Name,Dist Name,Crop,Min_Temp,Max_Temp,Avg_Temp,Rainfall,Actual_Yield,Predicted_Yield,Resilience_Index,Resilience_Class
1996,Andhra Pradesh,Ananthapur,chickpea,20.0,20.0,20.0,600.0,538.0,538.0,1.0,Highly Resilient
1996,Andhra Pradesh,Ananthapur,cotton,28.0,28.0,28.0,700.0,263.0,263.0,1.0,Highly Resilient
1996,Andhra Pradesh,Ananthapur,maize,22.0,22.0,22.0,800.0,4333.0,4336.0,1.0,Highly Resilient
1996,Andhra Pradesh,Ananthapur,rice,25.0,25.0,25.0,1200.0,2471.0,2471.0,1.0,Highly Resilient
1996,Andhra Pradesh,Chittoor,rice,25.0,25.0,25.0,1200.0,2429.0,2429.0,1.0,Highly Resilient
1996,Andhra Pradesh,East Godavari,cotton,28.0,28.0,28.0,700.0,487.0,488.0,1.0,Highly Resilient
1996,Andhra Pradesh,East Godavari,maize,22.0,22.0,22.0,800.0,3833.0,3833.0,1.0,Highly Resilient
1996,Andhra Pradesh,East Godavari,rice,25.0,25.0,25.0,1200.0,2410.0,2410.0,1.0,Highly Resilient
1996,Andhra Pradesh,Guntur,chickpea,20.0,20.0,20.0,600.0,1671.0,1671.0,1.0,Highly Resilient
1996,Andhra Pradesh,Guntur,cotton,28.0,28.0,28.0,700.0,486.0,485.0,1.0,Highly Resilient
1996,Andhra Pradesh,Guntur,maize,22.0,22.0,22.0,800.0,4678.0,4679.0,1.0,Highly Resilient
1996,Andhra Pradesh,Guntur,rice,25.0,25.0,25.0,1200.0,3136.0,3137.0,1.0,Highly Resilient
1996,Andhra Pradesh,Kadapa YSR,chickpea,20.0,20.0,20.0,600.0,857.0,857.0,1.0,Highly Resilient
1996,Andhra Pradesh,Kadapa YSR,cotton,28.0,28.0,28.0,700.0,244.0,244.0,1.0,Highly Resilient
1996,Andhra Pradesh,Kadapa YSR,rice,25.0,25.0,25.0,1200.0,2439.0,2440.0,1.0,Highly Resilient
1996,Andhra Pradesh,Krishna,cotton,28.0,28.0,28.0,700.0,482.0,482.0,1.0,Highly Resilient
1996,Andhra Pradesh,Krishna,maize,22.0,22.0,22.0,800.0,3667.0,3665.0,1.0,Highly Resilient
1996,Andhra Pradesh,Krishna,rice,25.0,25.0,25.0,1200.0,3069.0,3069.0,1.0,Highly Resilient
1996,Andhra Pradesh,Kurnool,chickpea,20.0,20.0,20.0,600.0,974.0,975.0,1.0,Highly Resilient
1996,Andhra Pradesh,Kurnool,cotton,28.0,28.0,28.0,700.0,263.0,263.0,1.0,Highly Resilient
1996,Andhra Pradesh,Kurnool,maize,22.0,22.0,22.0,800.0,4732.0,4730.0,1.0,Highly Resilient
1996,Andhra Pradesh,Kurnool,rice,25.0,25.0,25.0,1200.0,2994.0,2994.0,1.0,Highly Resilient
1996,Andhra Pradesh,S.P.S. Nellore,chickpea,20.0,20.0,20.0,600.0,1600.0,1600.0,1.0,Highly Resilient
1996,Andhra Pradesh,S.P.S. Nellore,cotton,28.0,28.0,28.0,700.0,413.0,413.0,1.0,Highly Resilient
1996,Andhra Pradesh,S.P.S. Nellore,maize,22.0,22.0,22.0,800.0,5333.0,5335.0,1.0,Highly Resilient
1996,Andhra Pradesh,S.P.S. Nellore,rice,25.0,25.0,25.0,1200.0,2808.0,2808.0,1.0,Highly Resilient
1996,Andhra Pradesh,Srikakulam,cotton,28.0,28.0,28.0,700.0,374.0,374.0,1.0,Highly Resilient
1996,Andhra Pradesh,Srikakulam,maize,22.0,22.0,22.0,800.0,3000.0,3000.0,1.0,Highly Resilient
1996,Andhra Pradesh,Srikakulam,rice,25.0,25.0,25.0,1200.0,1922.0,1922.0,1.0,Highly Resilient
1996,Andhra Pradesh,Visakhapatnam,cotton,28.0,28.0,28.0,700.0,510.0,510.0,1.0,Highly Resilient
1996,Andhra Pradesh,Visakhapatnam,maize,22.0,22.0,22.0,800.0,2222.0,2226.0,1.0,Highly Resilient
1996,Andhra Pradesh,Visakhapatnam,rice,25.0,25.0,25.0,1200.0,1928.0,1928.0,1.0,Highly Resilient
1996,Andhra Pradesh,West Godavari,cotton,28.0,28.0,28.0,700.0,476.0,476.0,1.0,Highly Resilient
1996,Andhra Pradesh,West Godavari,maize,22.0,22.0,22.0,800.0,4167.0,4168.0,1.0,Highly Resilient
1996,Andhra Pradesh,West Godavari,rice,25.0,25.0,25.0,1200.0,2421.0,2421.0,1.0,Highly Resilient
1996,Chhattisgarh,Bastar,chickpea,20.0,20.0,20.0,600.0,600.0,600.0,1.0,Highly Resilient
1996,Chhattisgarh,Bastar,maize,22.0,22.0,22.0,800.0,1586.0,1586.0,1.0,Highly Resilient
1996,Chhattisgarh,Bastar,rice,25.0,25.0,25.0,1200.0,1041.0,1041.0,1.0,Highly Resilient
1996,Chhattisgarh,Bilaspur,chickpea,20.0,20.0,20.0,600.0,620.0,621.0,1.0,Highly Resilient
