Year,Month,Rainfall,AvgTemp,MaxTemp,MinTemp
1996,JAN,0.05,22.83,34.27,11.46
1996,FEB,0.26,24.38,36.99,10.68
1996,MAR,0.01,29.08,41.0,16.12
1996,APR,0.07,30.93,43.34,17.99
1996,MAY,0.07,32.59,42.85,19.92
1996,JUN,1.18,30.6,42.14,22.37
1996,JUL,7.63,25.86,37.11,20.7
1996,AUG,4.1,24.68,31.11,20.78
1996,SEP,5.69,24.43,30.85,18.33
1996,OCT,2.88,22.86,29.38,15.1
1996,NOV,0.09,20.74,30.38,11.31
1996,DEC,0.0,19.71,31.44,8.13
1997,JAN,0.38,19.84,32.35,7.72
1997,FEB,0.0,22.37,37.18,10.0
1997,MAR,0.02,28.03,39.01,16.11
1997,APR,0.13,29.35,41.89,17.39
1997,MAY,0.07,31.99,42.35,21.91
1997,JUN,2.55,28.62,38.57,21.73
1997,JUL,4.93,26.15,34.06,21.53
1997,AUG,4.74,25.42,33.27,20.55
1997,SEP,4.37,24.9,32.25,18.84
1997,OCT,0.85,24.71,33.77,17.23
1997,NOV,2.95,24.04,33.01,16.95
1997,DEC,1.63,20.84,28.94,9.93
1998,JAN,0.02,21.03,33.32,9.47
1998,FEB,0.01,22.77,34.91,11.51
1998,MAR,0.08,27.43,41.09,14.36
1998,APR,0.01,32.47,42.29,20.91
1998,MAY,0.87,34.02,43.69,23.18
1998,JUN,7.31,29.2,42.14,22.54
1998,JUL,4.81,26.13,32.63,21.59
1998,AUG,9.15,25.34,30.88,21.46
1998,SEP,5.41,24.75,30.38,20.94
1998,OCT,3.62,23.61,30.17,15.65
1998,NOV,1.47,20.53,29.13,10.26
1998,DEC,0.0,17.66,27.53,9.02
1999,JAN,0.0,18.76,31.8,6.48
1999,FEB,0.37,25.12,37.31,11.19
1999,MAR,0.0,28.66,42.47,17.26
1999,APR,0.0,32.12,43.13,18.88
1999,MAY,1.34,31.25,43.63,21.58
1999,JUN,6.15,27.52,40.47,20.74
1999,JUL,3.28,25.75,33.71,21.35
1999,AUG,2.65,25.24,32.91,20.53
1999,SEP,5.23,24.99,33.06,19.75
1999,OCT,2.54,23.22,31.16,13.7
1999,NOV,0.0,21.29,32.14,10.96
1999,DEC,0.0,19.81,31.17,8.61
2000,JAN,0.0,21.47,33.74,10.11
2000,FEB,0.19,22.32,35.11,10.73
2000,MAR,0.0,26.14,40.51,13.01
2000,APR,0.03,32.15,42.5,19.5
2000,MAY,4.78,30.86,43.03,22.09
2000,JUN,3.3,27.22,35.41,21.89
2000,JUL,3.89,25.58,33.27,20.31
2000,AUG,9.56,25.35,33.69,20.8
2000,SEP,2.27,24.99,31.79,19.13
2000,OCT,0.41,25.46,35.2,15.37
2000,NOV,0.03,23.87,34.66,13.78
2000,DEC,0.35,21.41,33.18,10.75
2001,JAN,0.03,21.78,34.01,9.98
2001,FEB,0.0,24.33,37.23,12.34
2001,MAR,0.11,27.43,38.32,16.08
2001,APR,0.05,31.73,42.93,17.74
2001,MAY,0.19,32.94,44.31,22.33
2001,JUN,4.0,27.22,38.76,20.76
2001,JUL,1.47,26.28,34.63,21.4
2001,AUG,7.04,24.56,31.34,20.45
2001,SEP,3.6,25.74,34.11,19.47
2001,OCT,4.22,23.27,31.19,14.52
2001,NOV,0.05,21.74,32.38,11.03
2001,DEC,0.0,21.05,32.52,9.85
2002,JAN,0.02,20.24,33.46,8.85
2002,FEB,0.08,24.98,36.76,11.15
2002,MAR,0.07,28.19,40.23,17.42
2002,APR,0.62,31.53,43.52,19.51
2002,MAY,0.07,33.61,44.75,22.77
2002,JUN,6.94,28.88,40.15,21.94
2002,JUL,1.67,26.46,34.02,21.37
2002,AUG,6.87,24.51,31.15,19.93
2002,SEP,3.22,24.62,33.09,18.8
2002,OCT,0.57,25.41,35.66,14.37
2002,NOV,0.03,24.02,34.62,13.69
2002,DEC,0.0,22.61,33.94,12.5
2003,JAN,0.02,22.55,34.35,8.46
2003,FEB,0.59,24.71,36.51,13.71
2003,MAR,0.06,27.82,39.75,12.59
